"Word","V1"
"housing",-0.0549462461274666
"register",-0.0548229122354725
"historic",-0.0547726757030344
"communities.",-0.0533133275349945
"sen.",-0.0514328738655814
"loans",-0.0513959571860635
"sec.",-0.0512952467359572
"beginning",-0.0512305941268939
"receives",-0.0509969994149443
"bill:",-0.050911222450981
"association",-0.0504568009533999
"efforts",-0.0501748410004736
"significant",-0.048237060219584
"day!",-0.0478895019894685
"losing",-0.0478349581073198
"kudlow",-0.045754358179747
"created",-0.0435150315636863
"walter",-0.0422144836709215
"improvements",-0.0421102425353347
"truck",-0.042060997899837
"gop’",-0.0410981776395605
"aid",-0.0409482053039932
"deficits",-0.0408622263479915
"standards",-0.0407685545075255
"deficit",-0.0406572181057232
"airport",-0.0405569302730131
"secretary",-0.0392514848982674
"reduction.",-0.0392084737240426
"watch:",-0.0388967170078437
"students:",-0.0364356945850653
"wonderful",-0.0355252430837903
"talks",-0.0353259633684032
"millionaires",-0.0347427218234852
"cant",-0.0345419622809145
"president",-0.0338313635346106
"service.",-0.0331510058308969
"friends",-0.0309236615781108
"support!",-0.0292482095035243
"brought",-0.0271822711578208
"joe",-0.0259072420852697
"talked",-0.0257062407469959
"people.",-0.0238249052975361
"security,",-0.0217767264632306
"time.",-0.0166979551710668
"discussion",0.0105646504387634
"floor:",0.0119136539011945
"bill,",0.0134381410069269
"health",0.017597526404342
"taxes",0.0195983617290633
"budget,",0.0231525541318609
"thanks,",0.0266484992917138
"enforcement",0.0273768085276855
"congress,",0.0281700219887124
"care.",0.0288970981154054
"-air",0.0304307502351674
"conference.",0.0323440887849989
"law,",0.0330214084691121
"secure",0.0344523342854407
"senate,",0.0349008340833953
"addressed",0.0352810079161136
"senate",0.035708600288041
"speech:",0.0363433695680494
"tomorrow",0.0365028414288141
"repeal.",0.0373052508683673
"comprehensive",0.0382425235163813
"growth.",0.0384462896080106
"gates",0.0385472675669407
"miller",0.0387788009249366
"prevent",0.0391093904618759
"tunnel",0.0393024011992572
"currently",0.0394910588636475
"libyan",0.0406408878218725
"bold",0.0411389172324087
"nation'",0.0422015051717106
"hill:",0.0435737453557884
"dream",0.0438162214644196
"county.",0.0446756911736482
"includes",0.0452340061414172
"hard",0.0458687072001069
"briefing",0.0460478108007809
"joins",0.0465270364719489
"collins'",0.047611657581872
"legislation:",0.0477876738760947
"reach",0.0478365869423594
"budget:",0.0481948942855081
"america’",0.0489825349697611
"idea",0.0494644624824313
"honors",0.0497396221390829
"north",0.0499954101163337
"welcomes",0.0509137970751207
"flooding",0.0509279970552774
"evening",0.0509966228359611
"critical",0.0511165613699
"raising",0.0522675543348632
