"Word","V1"
"improvements",-0.00981083118235028
"free",-0.00970139499184764
"project.",-0.00960980257158045
"drunk",-0.00957180931347577
"reduction.",-0.00936350590757951
"hearings",-0.00924771601058261
"homes",-0.00911855104030262
"fought",-0.00887085093826082
"hearing.",-0.00881255503780344
"means",-0.0086688707323187
"payments",-0.00863504401612837
"#egypt",-0.00849645473203691
"medicare.",-0.00826297607804594
"navy",-0.00808857527261052
"time",-0.00802619683768912
"sessions",-0.00773872136613621
"brought",-0.00773323318076227
"putting",-0.00764424112688837
"tmrw",-0.00743363630060411
"deficit",-0.00733219329628166
"letter",-0.00732521571048029
"springs",-0.0073032823549639
"@maddow",-0.00727321010412623
"chris",-0.00725022696175017
"overseas",-0.00718078599111839
"bill:",-0.00714428901486603
"opposition",-0.00712469653150559
"star",-0.00702260410673465
"experts",-0.00697256657386323
"delegation",-0.00679335632532294
"significant",-0.00664762271177933
"beginning",-0.00661257471959355
"@whitehouse",-0.00614772363872486
"perfect",-0.0061375062742871
"deficits",-0.00607602170417384
"privacy",-0.00605728194572977
"icymi,",-0.00599844956483797
"talked",-0.00591302610451733
"#deficit",-0.00588080717803692
"time.",-0.00562034218254293
"driving",-0.00553914941186343
"service.",-0.00543362429075292
"airport",-0.00539081089946568
"god",-0.00531449992453488
"sens",-0.00526242816809758
"aid",-0.00518900766861066
"wonderful",-0.00509271218641068
"recognize",-0.00507863371440218
"friend",-0.00496597692384513
"receives",-0.00489126068174009
"joe",-0.00485466511043806
"lower",-0.00452111721389587
"intelligence",-0.00451677308176393
"pics",-0.00439487070120353
"cant",-0.00423752178433725
"security,",-0.00401827068083674
"friends",-0.00399280056775185
"route",-0.00381460737224257
"healthcare",-0.00378518790120123
"gop’",-0.0035901087202864
"president",-0.00356285655873258
"kudlow",-0.00338822528534511
"register",-0.00326676461596067
"#vt",-0.00311954158105643
"health",0.0024234544869544
"hard",0.00251620331955486
"advocacy",0.00301158108494932
"currently",0.00324977201225187
"hill:",0.00343513453067898
"secure",0.00351591030412178
"discussion",0.0035210579653746
"briefing",0.00370784873218038
"floor:",0.00403318535145553
"includes",0.0042393196031139
"age",0.00432216482013698
