missingVotes,district,firstname,title,middlename,lastname,first.name,twitter_id,lo,up,party.y,party.x,state,icpsr.id,idealPoint,gender.y,gender.x,label,nameid,ideal_pointEst
23,33,Karen,Rep,,Bass,Karen,RepKarenBass,-2.00701693166183,-1.44505127831681,D,D,CA,NA,-1.70500623375251,F,F,Bass (D CA-33),B001270,1.42316373676
14,2,Charles,Rep,,Bass,Charles,RepCharlesBass,0.217371675103917,0.415632714494546,R,R,NH,29538,0.319363525145404,M,M,Bass (R NH-2),B000220,1.95631121117
22,31,Xavier,Rep,,Becerra,Xavier,repbecerra,-1.60374503733295,-1.15713874719584,D,D,CA,29316,-1.39546229576613,M,M,Becerra (D CA-31),B000287,1.26261089291
6,1,Dan,Rep,,Benishek,Dan,CongressmanDan,0.938376224105141,1.24383276968952,R,R,MI,NA,1.09790001403877,M,M,Benishek (R MI-1),B001271,1.64784239823
29,1,Rick,Rep,,Berg,Rick,RepRickBerg,0.581031869416014,0.836965032353793,R,R,ND,NA,0.710775476897197,M,M,Berg (R ND-1),B001272,1.77477311935
23,1,Shelley,Rep,,Berkley,Shelley,repberkley,-0.984109602520525,-0.720973740490421,D,D,NV,29922,-0.845087140942196,F,F,Berkley (D NV-1),B001231,1.77477311935
21,28,Howard,Rep,L.,Berman,Howard,RepHowardBerman,-1.27505017656346,-0.95441111539679,D,D,CA,15004,-1.10838374493953,M,M,Berman (D CA-28),B000410,1.65709009169
6,13,Judy,Rep,,Biggert,Judy,JudyBiggert,0.29755272390829,0.511197975351409,R,R,IL,29912,0.401215308072899,F,F,Biggert (R IL-13),B001232,2.17293344601
45,50,Brian,Rep,P.,Bilbray,Brian,BilbrayCA50,0.470906337344756,0.703204210695881,R,R,CA,29508,0.583978803537149,M,M,Bilbray (R CA-50),B000461,3.47594304906
24,9,Gus,Rep,Michael,Bilirakis,Gus,RepGusBilirakis,0.549036360164323,0.801145506286291,R,R,FL,NA,0.676914072505078,M,M,Bilirakis (R FL-9),B001257,3.60213941838
44,2,Sanford,Rep,D.,Bishop,Sanford,SanfordBishop,-0.640157507533722,-0.421818389690307,D,D,GA,29339,-0.52991005017583,M,M,Bishop Jr. (D GA-2),B000490,1.58267335577
26,6,Diane,Rep,,Black,Diane,dianeblacktn06,0.92718715229771,1.22980833675237,R,R,TN,NA,1.0652680704096,M,F,Black (R TN-6),B001273,5.21099375243
10,7,Marsha,Rep,,Blackburn,Marsha,MarshaBlackburn,1.0292309280838,1.36677362267648,R,R,TN,20351,1.20626987958912,F,F,Blackburn (R TN-7),B001243,4.6628878058
47,3,Earl,Rep,,Blumenauer,Earl,blumenauermedia,-1.31502608848424,-0.976805811206321,D,D,OR,29588,-1.1429541895532,M,M,Blumenauer (D OR-3),B000574,1.29273811628
