"lastname","state","firstname","middlename","title","party.x","gender.x","twitter_id","first.name","district","party.y","gender.y","nameid","icpsr.id","missingVotes","idealPoint","lo","up","label"
"Israel","NY","Steve","J.","Rep","D","M","RepSteveIsrael","Steve",2,"D","M","I000057",20129,10,-1.00286008898248,-1.15293100840654,-0.845315579113116,"Israel (D NY-2)"
"Issa","CA","Darrell","","Rep","R","M","DarrellIssa","Darrell",49,"R","M","I000056",20107,12,1.02574461109062,0.878237118502179,1.17124776610058,"Issa (R CA-49)"
"Jackson Lee","TX","Sheila","","Rep","D","F","JacksonLeeTX18","Sheila",18,"D","F","J000032",29573,27,-0.780449943948755,-0.902221126619158,-0.658413448654591,"Jackson-Lee (D TX-18)"
"Jenkins","KS","Lynn","M.","Rep","R","F","RepLynnJenkins","Lynn",2,"R","F","J000290",NA,4,0.99096152567552,0.842295977701125,1.12640236981118,"Jenkins (R KS-2)"
"Johnson","GA","Henry","C.","Rep","D","M","RepHankJohnson","Hank",4,"D","M","J000288",20712,35,-1.17121380902733,-1.35887142696018,-0.990901961428292,"Johnson (D GA-4)"
"Johnson","IL","Timothy","V.","Rep","R","M","RepTimJohnson","Timothy",15,"R","M","J000285",20116,27,0.355192336007061,0.253401391347355,0.456058334679616,"Johnson (R IL-15)"
"Johnson","OH","Bill","","Rep","R","M","repbilljohnson","Bill",6,"R","M","J000292",NA,6,0.917616300053674,0.772635755175018,1.04329747417567,"Johnson (R OH-6)"
"Johnson","TX","Eddie","Bernice","Rep","D","F","RepEBJ","Eddie",30,"D","F","J000126",39305,17,-0.99657435722147,-1.14001700703145,-0.84439608842167,"Johnson (D TX-30)"
"Johnson","TX","Eddie","Bernice","Rep","D","F","RepEBJ","Sam",3,"R","M","J000174",15843,60,1.23425461597834,1.06519278553188,1.4158483083257,"Johnson (R TX-3)"
"Jones","NC","Walter","Beaman","Rep","R","M","RepWalterJones","Walter",3,"R","M","J000255",29546,13,0.0979839007428505,0.00578488059839911,0.190423846782471,"Jones (R NC-3)"
"Jordan","OH","James","","Rep","R","M","Jim_Jordan","Jim",4,"R","M","J000289",20738,23,1.52485961068425,1.2756149070115,1.77060693166579,"Jordan (R OH-4)"
"Keating","MA","Bill","","Rep","D","M","USRep_Keating","Bill",10,"D","M","K000375",NA,35,-0.969833584941535,-1.11031519844303,-0.816655160696225,"Keating (D MA-10)"
"Kind","WI","Ronald","James","Rep","D","M","repronkind","Ron",3,"D","M","K000188",29769,11,-0.796168213684328,-0.924595272272426,-0.671421447432799,"Kind (D WI-3)"
"King","IA","Steve","A.","Rep","R","M","SteveKingPress","Steve",5,"R","M","K000362",20325,33,0.834445650519998,0.704791252070186,0.964966174449009,"King (R IA-5)"
"King","NY","Peter","T.","Rep","R","M","RepPeteKing","Peter",3,"R","M","K000210",29375,12,0.459387117363437,0.348797888636455,0.570535061598635,"King (R NY-3)"
"Kingston","GA","Jack","","Rep","R","M","JackKingston","Jack",1,"R","M","K000220",29338,15,0.907094299461003,0.771512946681793,1.03529985069216,"Kingston (R GA-1)"
"Kinzinger","IL","Adam","","Rep","R","M","RepKinzinger","Adam",11,"R","M","K000378",NA,9,0.550397365572996,0.428658210485338,0.659822704414418,"Kinzinger (R IL-11)"
"Kline","MN","John","P.","Rep","R","M","repjohnkline","John",2,"R","M","K000363",20333,4,1.02540760553892,0.871028422945777,1.17158998949183,"Kline (R MN-2)"
"Kucinich","OH","Dennis","J.","Rep","D","M","Dennis_Kucinich","Dennis",10,"D","M","K000336",29748,9,-1.12503268344123,-1.29601088295064,-0.962203648145193,"Kucinich (D OH-10)"
"Labrador","ID","Raul","","Rep","R","M","Raul_Labrador","Raul",1,"R","M","L000573",NA,25,1.02011200822322,0.875358473997172,1.17203859304547,"Labrador (R ID-1)"
"Landry","LA","Jeff","","Rep","R","M","repjefflandry","Jeff",3,"R","M","L000574",NA,43,1.06778248064739,0.90908855135266,1.2166969718057,"Landry (R LA-3)"
"Langevin","RI","James","R.","Rep","D","M","jimlangevin","Jim",2,"D","M","L000559",20136,18,-1.02130275710886,-1.18033652776624,-0.874045957770934,"Langevin (D RI-2)"
"Lankford","OK","James","","Rep","R","M","replankford","James",5,"R","M","L000575",NA,6,1.06075550310424,0.898505050023537,1.20023757947403,"Lankford (R OK-5)"
"Larsen","WA","Rick","","Rep","D","M","larsenrick","Rick",2,"D","M","L000560",20145,9,-0.77347737097393,-0.903090524828216,-0.651139509805322,"Larsen (D WA-2)"
"Larson","CT","John","B.","Rep","D","M","repjohnlarson","John",1,"D","M","L000557",29908,43,-1.15039151235544,-1.31526952486538,-0.980643657599,"Larson (D CT-1)"
"Latham","IA","Thomas","P.","Rep","R","M","TomLatham","Tom",4,"R","M","L000111",29522,11,0.577723853458679,0.456479896501763,0.689379975750452,"Latham (R IA-4)"
"LaTourette","OH","Steven","C.","Rep","R","M","LaTourette14","Steven",14,"R","M","L000553",29553,19,0.300475230782311,0.198308293273198,0.395954651172602,"LaTourette (R OH-14)"
"Latta","OH","Robert","Edward","Rep","R","M","boblatta","Robert",5,"R","M","L000566",99998,5,1.13559534612661,0.963502660308112,1.29033485429571,"Latta (R OH-5)"
"Lee","NY","Christopher","J.","Rep","R","M","chrislee_ny26","Christopher",26,"R","M","L000568",NA,668,1.10603871999103,0.210480117596012,2.39304465771644,"Lee (R NY-26)"
"Levin","MI","Sander","M.","Rep","D","M","repsandylevin","Sander",12,"D","M","L000263",15032,5,-1.05184222889729,-1.21973796330458,-0.910072074118983,"Levin (D MI-12)"
"Lewis","CA","Jerry","","Rep","R","M","RepJerryLewis","Jerry",41,"R","M","L000274",14644,7,0.619652867114736,0.498614364246945,0.739237229560951,"Lewis (R CA-41)"
"Lewis","GA","John","R.","Rep","D","M","RepJohnLewis","John",5,"D","M","L000287",15430,24,-1.6077320143109,-1.86459458920497,-1.34362216395917,"Lewis (D GA-5)"
"LoBiondo","NJ","Frank","A.","Rep","R","M","RepLoBiondo","Frank",2,"R","M","L000554",29539,4,0.297702283961672,0.192095994656253,0.389011666970519,"LoBiondo (R NJ-2)"
"Long","MO","Billy","","Rep","R","M","BillyLongMO7","Billy",7,"R","M","L000576",NA,54,1.21621591342595,1.03607616069052,1.39787388170802,"Long (R MO-7)"
"Lowey","NY","Nita","M.","Rep","D","F","NitaLowey","Nita",18,"D","F","L000480",15614,9,-1.09842554721901,-1.2619659400355,-0.9225390104961,"Lowey (D NY-18)"
"Lujan","NM","Ben","Ray","Rep","D","M","repbenraylujan","Ben",3,"D","M","L000570",NA,22,-1.04620232601288,-1.19936928050491,-0.875564229688342,"Lujan (D NM-3)"
"Lummis","WY","Cynthia","M.","Rep","R","F","CynthiaLummis","Cynthia",1,"R","F","L000571",NA,30,0.884754264256501,0.746242227015569,1.00663702168434,"Lummis (R WY-1)"
"Mack","FL","Connie","","Rep","R","M","RepConnieMack","Connie",14,"R","M","M001155",20503,25,1.15505688296048,0.989482578552529,1.318080031196,"Mack (R FL-14)"
"Maloney","NY","Carolyn","B.","Rep","D","F","carolynbmaloney","Carolyn",14,"D","F","M000087",29379,26,-1.31266709469476,-1.52383513430293,-1.11835484524299,"Maloney (D NY-14)"
"Manzullo","IL","Donald","A.","Rep","R","M","donmanzullo","Donald",16,"R","M","M001138",29349,47,0.942232775475404,0.790320093393355,1.07369779388525,"Manzullo (R IL-16)"
"Marchant","TX","Kenny","E.","Rep","R","M","RepKenMarchant","Kenny",24,"R","M","M001158",20532,45,1.01775792240074,0.87900927063943,1.17105237348125,"Marchant (R TX-24)"
"Marino","PA","Thomas","","Rep","R","M","RepTomMarino","Tom",10,"R","M","M001179",NA,7,0.801367648089753,0.669186267307288,0.934323743888873,"Marino (R PA-10)"
"Markey","MA","Edward","J.","Rep","D","M","markeymemo","Edward",7,"D","M","M000133",14435,24,-1.69057158638797,-1.93967038972392,-1.40560084722496,"Markey (D MA-7)"
"Matheson","UT","Jim","","Rep","D","M","RepJimMatheson","Jim",2,"D","M","M001142",20140,9,-0.170177248494496,-0.263344379667364,-0.079219370415544,"Matheson (D UT-2)"
"Matsui","CA","Doris","O.","Rep","D","F","DorisMatsui","Doris",5,"D","F","M001163",20538,6,-1.3084915104544,-1.51069057659091,-1.11191602551831,"Matsui (D CA-5)"
"McCarthy","CA","Kevin","","Rep","R","M","GOPWhip","Kevin",22,"R","M","M001165",20703,10,0.99161819052538,0.84524311935539,1.12675235041358,"McCarthy (R CA-22)"
"McCarthy","NY","Carolyn","","Rep","D","F","RepMcCarthyNY","Carolyn",4,"D","F","M000309",29744,91,-0.816666294832496,-0.948587250738136,-0.686183652948383,"McCarthy (D NY-4)"
"McCaul","TX","Michael","T.","Rep","R","M","McCaulPressShop","Michael",10,"R","M","M001157",20530,8,0.796869148738241,0.658260169157617,0.919587484008467,"McCaul (R TX-10)"
"McClintock","CA","Tom","","Rep","R","M","RepMcClintock","Tom",4,"R","M","M001177",NA,5,0.893001359916708,0.762901265206191,1.02156960045734,"McClintock (R CA-4)"
"McCotter","MI","Thaddeus","G.","Rep","R","M","ThadMcCotter","Thaddeus",11,"R","M","M001147",20332,56,0.58143828646105,0.445376977399791,0.693979072434714,"McCotter (R MI-11)"
"McDermott","WA","James","A.","Rep","D","M","RepJimMcDermott","Jim",7,"D","M","M000404",15616,31,-1.48900146038976,-1.74516709370625,-1.27248056342776,"McDermott (D WA-7)"
"McGovern","MA","James","P.","Rep","D","M","RepMcGovern","Jim",3,"D","M","M000312",29729,5,-1.6267894855764,-1.88968543854026,-1.36370698991953,"McGovern (D MA-3)"
"McHenry","NC","Patrick","T.","Rep","R","M","PatrickMcHenry","Patrick",10,"R","M","M001156",20522,15,1.33263791975477,1.12825756030422,1.5197381243214,"McHenry (R NC-10)"
"McIntyre","NC","Mike","","Rep","D","M","repmikemcintyre","Mike",7,"D","M","M000485",29746,24,-0.261781911051515,-0.354859386658548,-0.170768516650322,"McIntyre (D NC-7)"
"McKeon","CA","Howard","P.","Rep","R","M","BuckMcKeon","Howard",25,"R","M","M000508",29315,8,0.708400149314761,0.591681053777735,0.835076926590663,"McKeon (R CA-25)"
"McKinley","WV","David","","Rep","R","M","RepMcKinley","David",1,"R","M","M001180",NA,13,0.50284807997771,0.373404319425708,0.603035057566886,"McKinley (R WV-1)"
"McMorris-Rodgers","WA","Cathy","","Rep","R","F","cathymcmorris","Cathy",5,"R","F","M001159",20535,18,0.845487464374578,0.709118996945256,0.975067652520765,"McMorris Rodgers (R WA-5)"
"McNerney","CA","Gerald","","Rep","D","M","jerrymcnerney","Jerry",11,"D","M","M001166",20702,9,-0.948909361333805,-1.09321619944503,-0.801315915879629,"McNerney (D CA-11)"
"Meehan","PA","Patrick","","Rep","R","M","patmeehanpa","Pat",7,"R","M","M001181",NA,7,0.35274728262702,0.246106848859699,0.455119394372621,"Meehan (R PA-7)"
"Meeks","NY","Gregory","W.","Rep","D","M","GregoryMeeks","Gregory",6,"D","M","M001137",29776,79,-1.09267215817467,-1.27206320260676,-0.931019588685667,"Meeks (D NY-6)"
"Michaud","ME","Michael","H.","Rep","D","M","RepMikeMichaud","Michael",2,"D","M","M001149",20328,8,-0.77457178635901,-0.906583908574219,-0.654082772032535,"Michaud (D ME-2)"
"Miller","CA","Gary","G.","Rep","R","M","repgarymiller","Gary",42,"R","M","M001139",29905,16,1.18638557604257,1.00626047814649,1.34569075410673,"Miller (R CA-42)"
"Miller","CA","Gary","G.","Rep","R","M","repgarymiller","George",7,"D","M","M000725",14256,24,-1.34617885327628,-1.55080826918136,-1.14270041616698,"Miller (D CA-7)"
"Miller","CA","George","","Rep","D","M","askgeorge","Gary",42,"R","M","M001139",29905,16,1.18638557604257,1.00626047814649,1.34569075410673,"Miller (R CA-42)"
"Miller","CA","George","","Rep","D","M","askgeorge","George",7,"D","M","M000725",14256,24,-1.34617885327628,-1.55080826918136,-1.14270041616698,"Miller (D CA-7)"
"Miller","FL","Jeff","","Rep","R","M","CongJeffMiller","Jeff",1,"R","M","M001144",20110,6,1.26932802231992,1.0850502408861,1.4643516181156,"Miller (R FL-1)"
"Miller","MI","Candice","S.","Rep","R","F","CandiceMiller","Candice",10,"R","F","M001150",20331,4,0.667447380027239,0.545644841440735,0.783664082060471,"Miller (R MI-10)"
"Moore","WI","Gwendolynne","S.","Rep","D","F","RepGwenMoore","Gwen",4,"D","F","M001160",20537,35,-1.40043859151113,-1.62868165431869,-1.18597516110458,"Moore (D WI-4)"
"Moran","VA","James","P.","Rep","D","M","Jim_Moran","James",8,"D","M","M000933",15826,23,-1.11634696832523,-1.27990748146683,-0.947249279460861,"Moran (D VA-8)"
"Mulvaney","SC","John ","Michael","Rep","R","M","mickmulvaney","Mick",5,"R","M","M001182",NA,11,1.15956411738216,0.994723847461475,1.31559750177908,"Mulvaney (R SC-5)"
"Murphy","PA","Tim","","Rep","R","M","RepTimMurphy","Tim",18,"R","M","M001151",20346,9,0.648966325709647,0.523591601689249,0.762604638807601,"Murphy (R PA-18)"
"Myrick","NC","Sue","W.","Rep","R","F","SueMyrick","Sue",9,"R","F","M001134",29549,48,0.931249242962727,0.781335138432358,1.07025336376615,"Myrick (R NC-9)"
"Napolitano","CA","Grace","Flores","Rep","D","F","gracenapolitano","Grace",38,"D","F","N000179",29903,27,-1.61462062541138,-1.89435810763854,-1.36431598470199,"Napolitano (D CA-38)"
"Neugebauer","TX","Randy","","Rep","R","M","RandyNeugebauer","Randy",19,"R","M","N000182",20353,11,1.25168930174109,1.06214551529852,1.43217911228501,"Neugebauer (R TX-19)"
"Noem","SD","Kristi","","Rep","R","F","repkristinoem","Kristi",1,"R","F","N000184",NA,7,0.67925647302436,0.551661788083604,0.798479545734614,"Noem (R SD-1)"
"Nugent","FL","Richard","","Rep","R","M","RepRichNugent","Richard",5,"R","M","N000185",NA,9,0.970294756724044,0.823547181509568,1.11640483000311,"Nugent (R FL-5)"
"Nunes","CA","Devin","G.","Rep","R","M","devinnunes","Devin",21,"R","M","N000181",20307,13,1.00219497661638,0.858279429363628,1.14508623519759,"Nunes (R CA-21)"
"Nunnelee","MS","Patrick","Alan","Rep","R","M","AlanNunnelee","Alan",1,"R","M","N000186",NA,17,0.828793361866379,0.691853171905107,0.957736459039976,"Nunnelee (R MS-1)"
"Olson","TX","Pete","","Rep","R","M","OlsonPressShop","Pete",22,"R","M","O000168",NA,9,0.844558516469139,0.712767902173343,0.978142253235656,"Olson (R TX-22)"
"Owens","NY","Bill","","Rep","D","M","BillOwensNY","Bill",23,"D","M","O000169",NA,15,-0.330045019951794,-0.425615252318101,-0.235120731635044,"Owens (D NY-23)"
"Palazzo","MS","Steven","","Rep","R","M","StevenPalazzo","Steven",4,"R","M","P000601",NA,10,0.795003850742165,0.666900230926432,0.921223642434061,"Palazzo (R MS-4)"
"Pallone","NJ","Frank","J.","Rep","D","M","FrankPallone","Frank",6,"D","M","P000034",15619,6,-1.67369771451092,-1.95522632615723,-1.43155086249545,"Pallone (D NJ-6)"
"Paul","TX","Ronald","Ernest","Rep","R","M","RepRonPaul","Ron",14,"R","M","P000583",14290,104,0.532906623446468,0.419850934632483,0.641191382994928,"Paul (R TX-14)"
"Paulsen","MN","Erik","","Rep","R","M","Erik_Paulsen","Erik",3,"R","M","P000594",NA,16,0.678164529130796,0.555030488429565,0.795868346984289,"Paulsen (R MN-3)"
"Pearce","NM","Stevan","E.","Rep","R","M","RepStevePearce","Steve",2,"R","M","P000588",20337,23,0.955547485611954,0.813882685830523,1.09658078663439,"Pearce (R NM-2)"
"Pelosi","CA","Nancy","","Rep","D","F","NancyPelosi","Nancy",8,"D","F","P000197",15447,61,-1.37234125365295,-1.59143633703557,-1.14954577910547,"Pelosi (D CA-8)"
"Pence","IN","Mike","","Rep","R","M","RepMikePence","Mike",6,"R","M","P000587",20117,24,1.30653069068421,1.10490107968741,1.48803646183071,"Pence (R IN-6)"
"Perlmutter","CO","Ed","","Rep","D","M","RepPerlmutter","Ed",7,"D","M","P000593",20705,17,-0.669538301254392,-0.789646183293334,-0.562257607194697,"Perlmutter (D CO-7)"
"Peters","MI","Gary","C.","Rep","D","M","RepGaryPeters","Gary",9,"D","M","P000595",NA,49,-0.617119078349088,-0.726497928828787,-0.506388227621557,"Peters (D MI-9)"
"Pingree","ME","Chellie","M.","Rep","D","F","chelliepingree","Chellie",1,"D","F","P000597",NA,38,-1.25432454193214,-1.46182934029426,-1.07413197127733,"Pingree (D ME-1)"
"Pitts","PA","Joseph","R.","Rep","R","M","RepJoePitts","Joe",16,"R","M","P000373",29752,8,0.978562453310656,0.843736350080171,1.11967879947356,"Pitts (R PA-16)"
"Poe","TX","Ted","","Rep","R","M","JudgeTedPoe","Ted",2,"R","M","P000592",20528,13,0.968203065567516,0.818840611662551,1.10623959177386,"Poe (R TX-2)"
"Polis","CO","Jared","","Rep","D","M","jaredpolis","Jared",2,"D","M","P000598",NA,20,-0.902399645144128,-1.0321470730354,-0.760791368712618,"Polis (D CO-2)"
"Pompeo","KS","Michael","Richard","Rep","R","M","mikepompeo","Mike",4,"R","M","P000602",NA,10,1.44297402863322,1.21990154524756,1.67096589084809,"Pompeo (R KS-4)"
"Posey","FL","Bill","","Rep","R","M","congbillposey","Bill",15,"R","M","P000599",NA,10,0.825965183976244,0.691970031499583,0.952489212557092,"Posey (R FL-15)"
"Price","GA","Thomas","E.","Rep","R","M","RepTomPrice","Tom",6,"R","M","P000591",20505,7,1.29382557824778,1.10168044207949,1.47856573422558,"Price (R GA-6)"
"Quayle","AZ","Ben","","Rep","R","M","benquayle","Ben",3,"R","M","Q000024",NA,65,1.25331731461014,1.0546204863585,1.4322587918052,"Quayle (R AZ-3)"
"Quigley","IL","Mike","","Rep","D","M","RepMikeQuigley","Mike",5,"D","M","Q000023",NA,14,-0.897177218793688,-1.03356097513896,-0.764944379155924,"Quigley (D IL-5)"
"Rangel","NY","Charles","B.","Rep","D","M","cbrangel","Charles",15,"D","M","R000053",13035,91,-1.35902642082461,-1.56438433421662,-1.15794982289448,"Rangel (D NY-15)"
"Reed","NY","Thomas","","Rep","R","M","tomreedcongress","Tom",29,"R","M","R000585",NA,14,0.62087590574793,0.496915838028667,0.734556268527104,"Reed (R NY-29)"
"Rehberg","MT","Dennis","","Rep","R","M","DennyRehberg","Denny",1,"R","M","R000571",20125,8,0.606906158400794,0.488158955051861,0.723619305163484,"Rehberg (R MT-1)"
"Reichert","WA","David","George","Rep","R","M","davereichert","Dave",8,"R","M","R000578",20536,35,0.236015930046585,0.136074123262616,0.329388773595683,"Reichert (R WA-8)"
"Renacci","OH","Jim","","Rep","R","M","repjimrenacci","Jim",16,"R","M","R000586",NA,5,0.731918745615799,0.597414894906255,0.847833745580573,"Renacci (R OH-16)"
"Reyes","TX","Silvestre","","Rep","D","M","silvestrereyes","Silvestre",16,"D","M","R000170",29764,22,-0.701156990244578,-0.815588947068951,-0.575148070824985,"Reyes (D TX-16)"
"Ribble","WI","Reid","","Rep","R","M","RepRibble","Reid",8,"R","M","R000587",NA,23,0.985997490355786,0.838331101885571,1.1241473977663,"Ribble (R WI-8)"
"Richardson","CA","Laura","","Rep","D","F","replrichardson","Laura",37,"D","F","R000581",20572,20,-0.767220506624374,-0.888286058675719,-0.644207592559941,"Richardson (D CA-37)"
"Rigell","VA","Scott","","Rep","R","M","repscottrigell","Scott",2,"R","M","R000589",NA,6,0.697171093756956,0.570434933902632,0.813694696345093,"Rigell (R VA-2)"
"Rivera","FL","David","","Rep","R","M","RepRivera","David",25,"R","M","R000590",NA,5,0.560511297375017,0.43947141797227,0.670585425845594,"Rivera (R FL-25)"
"Roby","AL","Martha","","Rep","R","F","martharoby","Martha",2,"R","F","R000591",NA,6,0.721015862309057,0.588905134828972,0.842032397902413,"Roby (R AL-2)"
"Roe","TN","David","P.","Rep","R","M","DrPhilRoe","Phil",1,"R","M","R000582",NA,8,0.885243798835554,0.744031026611621,1.01209903487741,"Roe (R TN-1)"
"Rogers","AL","Michael","Dennis","Rep","R","M","RepMikeRogersAL","Mike",3,"R","M","R000575",20301,11,0.62284960596387,0.504323025511043,0.745135263353068,"Rogers (R AL-3)"
"Rohrabacher","CA","Dana","T.","Rep","R","M","DanaRohrabacher","Dana",46,"R","M","R000409",15624,21,0.865971327237413,0.732999090404515,0.982899217784769,"Rohrabacher (R CA-46)"
"Rokita","IN","Todd","","Rep","R","M","ToddRokita","Todd",4,"R","M","R000592",NA,62,1.14128884579966,0.97598183989718,1.32334747110659,"Rokita (R IN-4)"
"Rooney","FL","Tom","","Rep","R","M","TomRooney","Tom",16,"R","M","R000583",NA,9,0.906657258344844,0.77552386291035,1.04989600437431,"Rooney (R FL-16)"
"Ros-Lehtinen","FL","Ileana","","Rep","R","F","RosLehtinen","Ileana",18,"R","F","R000435",15637,15,0.398011208757336,0.28300271882985,0.500277211221286,"Ros-Lehtinen (R FL-18)"
"Roskam","IL","Peter","J.","Rep","R","M","PeterRoskam","Peter",6,"R","M","R000580",20715,19,0.810846600972277,0.682932337863981,0.92877894344701,"Roskam (R IL-6)"
"Ross","AR","Mike","","Rep","D","M","RepMikeRoss","Mike",4,"D","M","R000573",20102,14,-0.107380032487527,-0.201049047996955,-0.0153257074908143,"Ross (D AR-4)"
"Ross","FL","Dennis","","Rep","R","M","RepDennisRoss","Dennis",12,"R","M","R000593",NA,6,1.1807359029402,1.02610034205531,1.34867352993181,"Ross (R FL-12)"
"Royce","CA","Edward","R.","Rep","R","M","RepEdRoyce","Ed",40,"R","M","R000487",29321,8,1.16586785283602,1.01207494335724,1.34287799989824,"Royce (R CA-40)"
"Ryan","OH","Timothy","J.","Rep","D","M","timryan","Tim",17,"D","M","R000577",20343,14,-0.95432259071815,-1.09571508903272,-0.802345846674034,"Ryan (D OH-17)"
"Ryan","WI","Paul","D.","Rep","R","M","reppaulryan","Paul",1,"R","M","R000570",29939,6,1.01523614313008,0.875406174093188,1.15482882975375,"Ryan (R WI-1)"
"Sanchez","CA","Loretta","L.","Rep","D","F","lorettasanchez","Loretta",47,"D","F","S000030",29709,61,-0.981165461231851,-1.11946310055379,-0.822813970821445,"Sanchez (D CA-47)"
"Sanchez","CA","Loretta","L.","Rep","D","F","lorettasanchez","Linda",39,"D","F","S001156",20310,29,-1.75738115523675,-2.04380229130464,-1.46376518219116,"Sanchez (D CA-39)"
"Schakowsky","IL","Janice","D.","Rep","D","F","janschakowsky","Jan",9,"D","F","S001145",29911,18,-1.64740755380791,-1.88788178788427,-1.37248885843283,"Schakowsky (D IL-9)"
"Schiff","CA","Adam","B.","Rep","D","M","RepAdamSchiff","Adam",29,"D","M","S001150",20104,5,-0.964341023421648,-1.10216767562931,-0.812515645008078,"Schiff (D CA-29)"
"Schilling","IL","Robert","T","Rep","R","M","RepSchilling","Bobby",17,"R","M","S001182",NA,6,0.616862719327312,0.498761037183515,0.735270113928783,"Schilling (R IL-17)"
"Schmidt","OH","Jean","","Rep","R","F","RepJeanSchmidt","Jean",2,"R","F","S001164",20540,6,0.787437509517878,0.657577199256927,0.901700535572078,"Schmidt (R OH-2)"
"Schock","IL","Aaron","","Rep","R","M","repaaronschock","Aaron",18,"R","M","S001179",NA,40,0.566106231946221,0.455483247347753,0.689669870394532,"Schock (R IL-18)"
"Schrader","OR","Kurt","","Rep","D","M","repschrader","Kurt",5,"D","M","S001180",NA,38,-0.467620412043647,-0.576529904724404,-0.37398741391083,"Schrader (D OR-5)"
"Schweikert","AZ","David","","Rep","R","M","RepDavid","David",5,"R","M","S001183",NA,9,1.09145940811975,0.939059724502552,1.24750725393829,"Schweikert (R AZ-5)"
"Scott","GA","David","","Rep","D","M","repdavidscott","Austin",8,"R","M","S001189",NA,18,1.1332230862145,0.975894724935487,1.29246396352717,"Scott (R GA-8)"
"Scott","GA","David","","Rep","D","M","repdavidscott","David",13,"D","M","S001157",20321,13,-0.846071992430674,-0.975481866657198,-0.706636452605563,"Scott (D GA-13)"
"Scott","GA","James","Austin","Rep","R","M","AustinScottGA08","Austin",8,"R","M","S001189",NA,18,1.1332230862145,0.975894724935487,1.29246396352717,"Scott (R GA-8)"
"Scott","GA","James","Austin","Rep","R","M","AustinScottGA08","David",13,"D","M","S001157",20321,13,-0.846071992430674,-0.975481866657198,-0.706636452605563,"Scott (D GA-13)"
"Scott","SC","Tim","","Rep","R","M","RepTimScott","Tim",1,"R","M","S001184",NA,9,1.3852481563246,1.1914699502497,1.61380058541575,"Scott (R SC-1)"
"Scott","VA","Robert","C.","Rep","D","M","repbobbyscott","Robert",3,"D","M","S000185",39307,9,-0.995004001339616,-1.14921654188228,-0.841431793688896,"Scott (D VA-3)"
"Serrano","NY","Jose","E.","Rep","D","M","repjoseserrano","José",16,"D","M","S000248",15643,9,-1.53587748467994,-1.79677516373093,-1.29388292135477,"Serrano (D NY-16)"
"Sessions","TX","Peter","A.","Rep","R","M","petesessions","Pete",32,"R","M","S000250",29759,15,1.46904722012245,1.23532948530345,1.69796747795042,"Sessions (R TX-32)"
"Sherman","CA","Brad","J.","Rep","D","M","BradSherman","Brad",27,"D","M","S000344",29707,6,-1.03596405499899,-1.19132910607687,-0.877418250007295,"Sherman (D CA-27)"
"Shimkus","IL","John","M.","Rep","R","M","RepShimkus","John",19,"R","M","S000364",29718,16,0.556051857540165,0.43713180138661,0.66729222398254,"Shimkus (R IL-19)"
"Shuster","PA","Bill","","Rep","R","M","RepBillShuster","Bill",9,"R","M","S001154",14052,21,0.67053071462611,0.534478594680397,0.785976870217201,"Shuster (R PA-9)"
"Simpson","ID","Michael","K.","Rep","R","M","CongMikeSimpson","Mike",2,"R","M","S001148",29910,14,0.514444258590385,0.399603328409502,0.625021149079244,"Simpson (R ID-2)"
"Sires","NJ","Albio","","Rep","D","M","Rep_Albio_Sires","Albio",13,"D","M","S001165",20542,13,-0.955953008793832,-1.09048393378567,-0.802841877998563,"Sires (D NJ-13)"
"Slaughter","NY","Louise","McIntosh","Rep","D","F","louiseslaughter","Louise",28,"D","F","S000480",15443,64,-1.43019143614126,-1.67210336172045,-1.22095757836747,"Slaughter (D NY-28)"
"Smith","TX","Lamar","S.","Rep","R","M","LamarSmithTX21","Lamar",21,"R","M","S000583",15444,16,0.719645278817528,0.591422846423102,0.840269659510308,"Smith (R TX-21)"
"Smith","WA","Adam","","Rep","D","M","Rep_Adam_Smith","Adam",9,"D","M","S000510",29768,33,-0.679529880028763,-0.793617232912414,-0.559073845426668,"Smith (D WA-9)"
"Southerland","FL","William","","Rep","R","M","Rep_Southerland","Steve",2,"R","M","S001186",NA,5,1.16724858227504,1.00140950204556,1.32803550102525,"Southerland (R FL-2)"
"Speier","CA","K. Jacqueline","","Rep","D","F","repspeier","Jackie",12,"D","F","S001175",NA,58,-0.999202458652027,-1.14169832195808,-0.84556453415291,"Speier (D CA-12)"
"Stearns","FL","Clifford","B.","Rep","R","M","RepCliffStearns","Cliff",6,"R","M","S000822",15630,9,1.04308959599286,0.887263386870581,1.18255627355335,"Stearns (R FL-6)"
"Stivers","OH","Steven","","Rep","R","M","RepSteveStivers","Steve",15,"R","M","S001187",NA,88,0.482314258601458,0.359879458672516,0.588273293566375,"Stivers (R OH-15)"
"Stutzman","IN","Marlin","","Rep","R","M","marlinstutzman","Marlin",3,"R","M","S001188",NA,19,1.40077052023113,1.17657745721353,1.6138357741648,"Stutzman (R IN-3)"
"Sullivan","OK","John","A.","Rep","R","M","USRepSullivan","John",1,"R","M","S001155",20131,40,0.850464288475611,0.710938190671715,0.976881860830055,"Sullivan (R OK-1)"
"Terry","NE","Lee","R.","Rep","R","M","LEETERRYNE","Lee",2,"R","M","T000459",29921,9,0.700399299424135,0.581798466695465,0.819449062787241,"Terry (R NE-2)"
