lastname,firstname,middlename,title,party,state,gender,twitter_id
Pearce,Stevan,E.,Rep,R,NM,M,RepStevePearce
Pelosi,Nancy,,Rep,D,CA,F,NancyPelosi
Pence,Mike,,Rep,R,IN,M,RepMikePence
Perlmutter,Ed,,Rep,D,CO,M,RepPerlmutter
Peters,Gary,C.,Rep,D,MI,M,RepGaryPeters
Pierluisi,Pedro,,Com,D,PR,M,pedropierluisi
Pingree,Chellie,M.,Rep,D,ME,F,chelliepingree
Pitts,Joseph,R.,Rep,R,PA,M,RepJoePitts
Poe,Ted,,Rep,R,TX,M,JudgeTedPoe
Polis,Jared,,Rep,D,CO,M,jaredpolis
Pompeo,Michael,Richard,Rep,R,KS,M,mikepompeo
Portman,Rob,,Sen,R,OH,M,robportman
Posey,Bill,,Rep,R,FL,M,congbillposey
Price,Thomas,E.,Rep,R,GA,M,RepTomPrice
Quayle,Ben,,Rep,R,AZ,M,benquayle
Quigley,Mike,,Rep,D,IL,M,RepMikeQuigley
Rangel,Charles,B.,Rep,D,NY,M,cbrangel
Reed,Thomas,,Rep,R,NY,M,tomreedcongress
Rehberg,Dennis,,Rep,R,MT,M,DennyRehberg
Reichert,David,George,Rep,R,WA,M,davereichert
Reid,Harry,M.,Sen,D,NV,M,SenatorReid
Renacci,Jim,,Rep,R,OH,M,repjimrenacci
Reyes,Silvestre,,Rep,D,TX,M,silvestrereyes
Ribble,Reid,,Rep,R,WI,M,RepRibble
Richardson,Laura,,Rep,D,CA,F,replrichardson
Rigell,Scott,,Rep,R,VA,M,repscottrigell
Risch,James,E.,Sen,R,ID,M,jamesrisch
Rivera,David,,Rep,R,FL,M,RepRivera
Roberts,Pat,,Sen,R,KS,M,senpatroberts
Roby,Martha,,Rep,R,AL,F,martharoby
Roe,David,P.,Rep,R,TN,M,DrPhilRoe
Rogers,Michael,Dennis,Rep,R,AL,M,RepMikeRogersAL
Rohrabacher,Dana,T.,Rep,R,CA,M,DanaRohrabacher
Rokita,Todd,,Rep,R,IN,M,ToddRokita
Rooney,Tom,,Rep,R,FL,M,TomRooney
Roskam,Peter,J.,Rep,R,IL,M,PeterRoskam
Ros-Lehtinen,Ileana,,Rep,R,FL,F,RosLehtinen
Ross,Dennis,,Rep,R,FL,M,RepDennisRoss
Ross,Mike,,Rep,D,AR,M,RepMikeRoss
Royce,Edward,R.,Rep,R,CA,M,RepEdRoyce
Ryan,Paul,D.,Rep,R,WI,M,reppaulryan
Ryan,Timothy,J.,Rep,D,OH,M,timryan
Sanchez,Loretta,L.,Rep,D,CA,F,lorettasanchez
Sanders,Bernard,,Sen,I,VT,M,senatorsanders
Schakowsky,Janice,D.,Rep,D,IL,F,janschakowsky
Schiff,Adam,B.,Rep,D,CA,M,RepAdamSchiff
Schilling,Robert,T,Rep,R,IL,M,RepSchilling
Schmidt,Jean,,Rep,R,OH,F,RepJeanSchmidt
Schock,Aaron,,Rep,R,IL,M,repaaronschock
Schrader,Kurt,,Rep,D,OR,M,repschrader
Schumer,Charles,E.,Sen,D,NY,M,chuckschumer
Schweikert,David,,Rep,R,AZ,M,RepDavid
Scott,David,,Rep,D,GA,M,repdavidscott
Scott,James,Austin,Rep,R,GA,M,AustinScottGA08
Scott,Robert,C.,Rep,D,VA,M,repbobbyscott
Scott,Tim,,Rep,R,SC,M,RepTimScott
Serrano,Jose,E.,Rep,D,NY,M,repjoseserrano
Sessions,Jefferson,B.,Sen,R,AL,M,SenatorSessions
Sessions,Peter,A.,Rep,R,TX,M,petesessions
Shaheen,Jeanne,,Sen,D,NH,F,JeanneShaheen
Sherman,Brad,J.,Rep,D,CA,M,BradSherman
Shimkus,John,M.,Rep,R,IL,M,RepShimkus
Shuster,Bill,,Rep,R,PA,M,RepBillShuster
Simpson,Michael,K.,Rep,R,ID,M,CongMikeSimpson
Sires,Albio,,Rep,D,NJ,M,Rep_Albio_Sires
Slaughter,Louise,McIntosh,Rep,D,NY,F,louiseslaughter
Smith,Adam,,Rep,D,WA,M,Rep_Adam_Smith
Smith,Lamar,S.,Rep,R,TX,M,LamarSmithTX21
Snowe,Olympia,Jean,Sen,R,ME,F,SenatorSnowe
Southerland,William,,Rep,R,FL,M,Rep_Southerland
Speier,K. Jacqueline,,Rep,D,CA,F,repspeier
Stabenow,Debbie,Ann,Sen,D,MI,F,StabenowPress
Stearns,Clifford,B.,Rep,R,FL,M,RepCliffStearns
Stivers,Steven,,Rep,R,OH,M,RepSteveStivers
Stutzman,Marlin,,Rep,R,IN,M,marlinstutzman
Sullivan,John,A.,Rep,R,OK,M,USRepSullivan
Terry,Lee,R.,Rep,R,NE,M,LEETERRYNE
Thompson,Bennie,G.,Rep,D,MS,M,BennieGThompson
Thompson,Glenn,W.,Rep,R,PA,M,CongressmanGT
Tipton,Scott,,Rep,R,CO,M,RepTipton
Tonko,Paul,D.,Rep,D,NY,M,PaulTonko
Toomey,Patrick,,Sen,R,PA,M,SenToomey
Towns,Edolphus,,Rep,D,NY,M,edtowns
Tsongas,Nicola,S.,Rep,D,MA,F,ntsongas
Udall,Mark,E.,Sen,D,CO,M,MarkUdall
Udall,Tom,S.,Sen,D,NM,M,SenatorTomUdall
Upton,Frederick,Stephen,Rep,R,MI,M,RepFredUpton
Visclosky,Peter,J.,Rep,D,IN,M,repvisclosky
Vitter,David,B.,Sen,R,LA,M,DavidVitter
Walberg,Timothy,L.,Rep,R,MI,M,RepWalberg
Walden,Greg,P.,Rep,R,OR,M,repgregwalden
Walsh,Joe,,Rep,R,IL,M,joewalsh8th
Warner,Mark,R.,Sen,D,VA,M,MarkWarner
